metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.aiplatform.featurestore.cpu_load,CPU load,GAUGE,DOUBLE,10^2.%,aiplatform.googleapis.com/Featurestore,The average CPU load for a node in the Featurestore online storage. Sampled every 60 seconds.
gcp.aiplatform.featurestore.cpu_load_hottest_node,CPU load (hottest node),GAUGE,DOUBLE,10^2.%,aiplatform.googleapis.com/Featurestore,The CPU load for the hottest node in the Featurestore online storage. Sampled every 60 seconds.
gcp.aiplatform.featurestore.node_count,Node count,GAUGE,INT64,1,aiplatform.googleapis.com/Featurestore,The number of nodes for the Featurestore online storage. Sampled every 60 seconds.
gcp.aiplatform.featurestore.online_serving.count,Serving count,DELTA,INT64,1,aiplatform.googleapis.com/Featurestore,Featurestore online serving count by EntityType.
gcp.aiplatform.featurestore.online_serving.error_count,Error count,DELTA,INT64,1,aiplatform.googleapis.com/Featurestore,Number of online serving errors by EntityType and error code.
gcp.aiplatform.featurestore.online_serving.latencies,Latencies,DELTA,DISTRIBUTION,ms,aiplatform.googleapis.com/Featurestore,Online serving latencies by EntityType.
gcp.aiplatform.featurestore.online_serving.response_size,Response size,DELTA,INT64,By,aiplatform.googleapis.com/Featurestore,Response size by EntityType.
gcp.aiplatform.featurestore.storage.stored_bytes,Bytes stored,GAUGE,INT64,By,aiplatform.googleapis.com/Featurestore,Bytes stored in Featurestore. Sampled every 60 seconds.
gcp.aiplatform.matching_engine.current_replicas,Current replicas,GAUGE,INT64,1,aiplatform.googleapis.com/IndexEndpoint,Number of active replicas used by the DeployedIndex.
gcp.aiplatform.matching_engine.current_shards,Current shards,GAUGE,INT64,1,aiplatform.googleapis.com/IndexEndpoint,Number of shards of the DeployedIndex.
gcp.aiplatform.prediction.online.accelerator.duty_cycle,Accelerator duty cycle,GAUGE,DOUBLE,10^2.%,aiplatform.googleapis.com/Endpoint,"Average fraction of time over the past sample period during which the accelerator(s) were actively processing. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.aiplatform.prediction.online.accelerator.memory.bytes_used,Accelerator memory usage,GAUGE,INT64,By,aiplatform.googleapis.com/Endpoint,"Amount of accelerator memory allocated by the deployed model replica. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.aiplatform.prediction.online.cpu.utilization,CPU utilization,GAUGE,DOUBLE,10^2.%,aiplatform.googleapis.com/Endpoint,"Fraction of CPU allocated by the deployed model replica and currently in use. May exceed 100% if the machine type has multiple CPUs. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.aiplatform.prediction.online.error_count,Error count,DELTA,INT64,1,aiplatform.googleapis.com/Endpoint,Number of online prediction errors.
gcp.aiplatform.prediction.online.memory.bytes_used,Memory usage,GAUGE,INT64,By,aiplatform.googleapis.com/Endpoint,"Amount of memory allocated by the deployed model replica and currently in use. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.aiplatform.prediction.online.network.received_bytes_count,Network bytes received,DELTA,INT64,By,aiplatform.googleapis.com/Endpoint,"Number of bytes received over the network by the deployed model replica. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.aiplatform.prediction.online.network.sent_bytes_count,Network bytes sent,DELTA,INT64,By,aiplatform.googleapis.com/Endpoint,"Number of bytes sent over the network by the deployed model replica. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.aiplatform.prediction.online.prediction_count,Prediction count,DELTA,INT64,1,aiplatform.googleapis.com/Endpoint,Number of online predictions.
gcp.aiplatform.prediction.online.prediction_latencies,Prediction Latencies,DELTA,DISTRIBUTION,ms,aiplatform.googleapis.com/Endpoint,Online prediction latency of the deployed model.
gcp.aiplatform.prediction.online.private.prediction_latencies,Private endpoint prediction latencies,DELTA,DISTRIBUTION,ms,aiplatform.googleapis.com/Endpoint,"Online prediction latency of the private deployed model. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.aiplatform.prediction.online.private.response_count,Private endpoint response count,DELTA,INT64,1,aiplatform.googleapis.com/Endpoint,"Online prediction response count of the private deployed model. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.aiplatform.prediction.online.replicas,Replica count,GAUGE,INT64,1,aiplatform.googleapis.com/Endpoint,"Number of active replicas used by the deployed model. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.aiplatform.prediction.online.response_count,Response count,DELTA,INT64,1,aiplatform.googleapis.com/Endpoint,Number of different online prediction response codes.
gcp.aiplatform.prediction.online.target_replicas,Replica target,GAUGE,INT64,1,aiplatform.googleapis.com/Endpoint,"Target number of active replicas needed for the deployed model. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
