metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.interconnect.network.attachment.capacity,Network Capacity,GAUGE,INT64,By/s,interconnect_attachment,"Network Capacity of the Attachment. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.attachment.received_bytes_count,Ingress Bytes,DELTA,INT64,By,interconnect_attachment,"Number of inbound bytes received. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.attachment.received_packets_count,Ingress Packets,DELTA,INT64,{packets},interconnect_attachment,"Number of inbound packets received. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.attachment.sent_bytes_count,Egress Bytes,DELTA,INT64,By,interconnect_attachment,"Number of outbound bytes sent. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.attachment.sent_packets_count,Egress Packets,DELTA,INT64,{packets},interconnect_attachment,"Number of outbound packets sent. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.capacity,Network Capacity,GAUGE,INT64,By/s,interconnect,"Active capacity of the interconnect. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.dropped_packets_count,Dropped Packets,DELTA,DOUBLE,{packets},interconnect,"Number of outbound packets dropped due to link congestion. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.link.operational,Circuit Operational Status,GAUGE,BOOL,(blank),interconnect,"Whether the operational status of the circuit is 'up'. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.link.rx_power,Circuit Receive Power,GAUGE,DOUBLE,{dBm},interconnect,"Light level received over physical circuit. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.link.tx_power,Circuit Transmit Power,GAUGE,DOUBLE,{dBm},interconnect,"Light level transmitted over physical circuit. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.operational,Operational Status,GAUGE,BOOL,(blank),interconnect,"Whether the operational status of the interconnect is 'up'. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.receive_errors_count,Ingress Errors,DELTA,DOUBLE,{errors},interconnect,"Number of errors encountered while receiving packets. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.received_bytes_count,Ingress Bytes,DELTA,DOUBLE,By,interconnect,"Number of inbound bytes received. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.received_unicast_packets_count,Ingress Unicast Packets,DELTA,DOUBLE,{packets},interconnect,"Number of inbound unicast packets received. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.send_errors_count,Egress Errors,DELTA,DOUBLE,{errors},interconnect,"Number of errors encountered while sending packets. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.sent_bytes_count,Egress Bytes,DELTA,DOUBLE,By,interconnect,"Number of outbound bytes sent. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.interconnect.network.interconnect.sent_unicast_packets_count,Egress Unicast Packets,DELTA,DOUBLE,{packets},interconnect,"Number of outbound unicast packets sent. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
