metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.appengine.flex.autoscaler.capacity,Autoscaling Metrics Utilization Capacity,GAUGE,DOUBLE,1,gae_app,"Utilization capacity multiplied by number of serving VMs. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.autoscaler.connections.current,Writing and reading connections,GAUGE,DOUBLE,1,gce_instance,"Number of current reading and writing connections per App Engine flexible environment instance. Intended to be used for autoscaling. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.appengine.flex.autoscaler.current_utilization,Autoscaling Metrics Current Utilization,GAUGE,DOUBLE,1,gae_app,"The sum of the utilization of a specified metric for all serving VMs. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.autoscaler.server.request_count,Request counts,DELTA,INT64,1,gce_instance,"Request counts for an App Engine flexible environment instance.Intended to be used for autoscaling. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.connections.current,Connections,GAUGE,DOUBLE,1,gae_app,"Number of current active connections per App Engine flexible environment version. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.cpu.reserved_cores,Reserved cores,GAUGE,DOUBLE,1,gae_app,"Total number of CPU cores allocated to an App Engine flexible environment version. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.cpu.utilization,CPU utilization,GAUGE,DOUBLE,10^2.%,gae_app,"Fractional utilization of allocated CPU across an AppEngine flexible environment version. Values are typically numbers between 0.0 and 1.0 (but some machine types allow bursting above 1.0). Charts display the values as a percentage between 0% and 100% (or more). Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.disk.read_bytes_count,Disk bytes read,DELTA,INT64,By,gae_app,"Delta count of bytes read from disk across an App Engine flexible environment version. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.disk.write_bytes_count,Disk bytes written,DELTA,INT64,By,gae_app,"Delta count of bytes written from disk across an App Engine flexible environment version. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.connections.current,Connections,GAUGE,DOUBLE,1,gae_instance,"Number of current active connections per App Engine flexible environment instance. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.cpu.usage_time,CPU Usage,DELTA,DOUBLE,s{CPU},gae_instance,"Delta vCPU usage for all vCPUs, in vCPU-seconds. This value is reported by the hypervisor for the VM and can differ from `agent.googleapis.com/cpu/usage_time`, which is reported from inside the VM. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.cpu.utilization,CPU Utilization,GAUGE,DOUBLE,10^2.%,gae_instance,"Fractional CPU utilization for all cores on a single AppEngine flexible instance. Values are typically numbers between 0.0 and 1.0 for a single core (but might exceed 1.0 in total). Charts display the values as a percentage between 0% and 100% (or more). Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.disk.io.read_bytes_count,Disk read bytes,DELTA,INT64,By,gae_instance,"Delta count of bytes read from disk. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.disk.io.write_bytes_count,Disk write bytes,DELTA,INT64,By,gae_instance,"Delta count of bytes written to disk. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.guest.disk.bytes_used,Disk usage,GAUGE,INT64,By,gae_instance,"Number of bytes used on disk for file systems. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.guest.memory.bytes_used,Memory usage,GAUGE,INT64,By,gae_instance,"Memory usage by each memory state, in Bytes. Summing values of all states yields the total memory on the machine. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.healthcheck.liveness.request_count,Liveness check,DELTA,INT64,1,gae_instance,"Number of liveness health-check requests for a Flex instance with status and error code. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
