metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.memcache.node.active_connections,Active connections,GAUGE,INT64,1,memcache_node,"Connections active in this Memcached node. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.memcache.node.cache_memory,Cache memory usage,GAUGE,INT64,By,memcache_node,"Bytes alloted for the Memcached cache in this node, grouped by whether that memory is used or not. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.memcache.node.cpu.usage_time,CPU usage time,DELTA,DOUBLE,s{CPU},memcache_node,"CPU usage time by Memcached process grouped by user and kernel mode. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.memcache.node.cpu.utilization,CPU usage percent,DELTA,DOUBLE,10^2.%,memcache_node,"CPU usage percent by Memcached node. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.memcache.node.eviction_count,Eviction count,DELTA,INT64,1,memcache_node,"Count of items evicted by this Memcached node. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.memcache.node.hit_ratio,Hit ratio,GAUGE,DOUBLE,10^2.%,memcache_node,"Hit ratio, expressed as a percentage of the total cache requests excluding set operations. Values are numbers between 0.0 and 1.0, charts display the values as a percentage between 0% and 100%. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.memcache.node.items,Items,GAUGE,INT64,1,memcache_node,"Items stored in this Memcached node. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.memcache.node.memory.utilization,System memory utilization,GAUGE,DOUBLE,10^2.%,memcache_node,"Utilization of system memory by Memcached node. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.memcache.node.operation_count,Memcached operation count,DELTA,INT64,1,memcache_node,"Count of Memcached operations grouped by command and response_type (e.g. hit, miss). Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.memcache.node.received_bytes_count,Received bytes,DELTA,INT64,By,memcache_node,"Bytes received by this Memcached node. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.memcache.node.sent_bytes_count,Sent bytes,DELTA,INT64,By,memcache_node,"Bytes sent by this Memcached node. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.memcache.node.uptime,Uptime,GAUGE,INT64,s,memcache_node,"Time in seconds the node has been running. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
