metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.bigquery.job.num_in_flight,Job count,GAUGE,INT64,1,bigquery_project,"In flight jobs. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.bigquery.query.count,Query count,GAUGE,INT64,1,"bigquery_project, global","In flight queries. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.bigquery.query.execution_times,Query execution times,GAUGE,DISTRIBUTION,s,"bigquery_project, global","Distribution of execution times for queries that completed successfully within the last sampling interval. Incomplete and failed queries are not included. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.bigquery.query.scanned_bytes,Scanned bytes,DELTA,INT64,By,global,"Scanned bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 21720 seconds."
gcp.bigquery.query.scanned_bytes_billed,Scanned bytes billed,DELTA,INT64,By,global,"Scanned bytes billed. Sampled every 60 seconds. After sampling, data is not visible for up to 21720 seconds."
gcp.bigquery.query.statement_scanned_bytes,Statement scanned bytes,DELTA,INT64,By,bigquery_project,"Scanned bytes broken down by statement type. Sampled every 60 seconds. After sampling, data is not visible for up to 21720 seconds."
gcp.bigquery.query.statement_scanned_bytes_billed,Statement scanned bytes billed,DELTA,INT64,By,bigquery_project,"Scanned bytes billed broken down by statement type. Sampled every 60 seconds. After sampling, data is not visible for up to 21720 seconds."
gcp.bigquery.slots.allocated,"Slots used by project, reservation, and job type",GAUGE,INT64,1,"bigquery_project, global","Number of BigQuery slots currently allocated for project. Slot allocation can be broken down based on reservation and job type. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.bigquery.slots.allocated_for_project,Slots used by project,GAUGE,INT64,1,global,"Number of BigQuery slots currently allocated for query jobs in the project. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.bigquery.slots.allocated_for_project_and_job_type,Slots used by project and job type,GAUGE,INT64,1,global,"Number of BigQuery slots currently allocated for the project and job type. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.bigquery.slots.allocated_for_reservation,Slots used by project in reservation,GAUGE,INT64,1,global,"Number of BigQuery slots currently allocated for project in the reservation. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.bigquery.slots.assigned,Slots assigned,GAUGE,INT64,1,bigquery_project,"The number of slots assigned to the given project/organization. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigquery.slots.capacity_committed,Slots capacity committed,GAUGE,INT64,1,bigquery_project,"The total slot capacity commitments purchased through this administrator project/organization. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigquery.slots.max_assigned,Slots max assigned,GAUGE,INT64,1,bigquery_project,"The maximum number of slots assigned to the given project/organization. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigquery.slots.total_allocated_for_reservation,Slots used across projects in reservation,GAUGE,INT64,1,"bigquery_project, global","Number of BigQuery slots currently allocated across projects in the reservation. Note that the metric data is only reported while at least one project has been assigned to the reservation and is consuming slots. As an alternative, consider querying reservations information from INFORMATION_SCHEMA (https://cloud.google.com/bigquery/docs/information-schema-reservations), which does not have these limitations. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.bigquery.slots.total_available,Total slots,GAUGE,INT64,1,"bigquery_project, global","(Deprecated) Total number of BigQuery slots available for the project. If you are using the BigQuery Reservations API, consider using bigquery.googleapis.com/slots/assigned and bigquery.googleapis.com/slots/max_assigned instead. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.bigquery.storage.stored_bytes,Stored bytes,GAUGE,INT64,By,bigquery_dataset,"Number of bytes stored. Sampled every 1800 seconds. After sampling, data is not visible for up to 10800 seconds."
gcp.bigquery.storage.table_count,Table count,GAUGE,INT64,1,bigquery_dataset,"Number of tables. Sampled every 1800 seconds. After sampling, data is not visible for up to 10800 seconds."
gcp.bigquery.storage.uploaded_bytes,Uploaded bytes,DELTA,INT64,By,bigquery_dataset,"Uploaded bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 21720 seconds."
gcp.bigquery.storage.uploaded_bytes_billed,Uploaded bytes billed,DELTA,INT64,By,bigquery_dataset,"Uploaded bytes billed. Sampled every 60 seconds. After sampling, data is not visible for up to 21720 seconds."
gcp.bigquery.storage.uploaded_row_count,Uploaded rows,DELTA,INT64,1,bigquery_dataset,"Uploaded rows. Sampled every 60 seconds. After sampling, data is not visible for up to 21720 seconds."
