metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.bigtable.backup.bytes_used,Backup storage used.,GAUGE,INT64,By,bigtable_backup,"Backup storage used in bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.bigtable.cluster.cpu_load,CPU load,GAUGE,DOUBLE,1,bigtable_cluster,"CPU load of a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.bigtable.cluster.cpu_load_hottest_node,CPU load (hottest node),GAUGE,DOUBLE,1,bigtable_cluster,"CPU load of the busiest node in a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.bigtable.cluster.disk_load,Disk load,GAUGE,DOUBLE,1,bigtable_cluster,"Utilization of HDD disks in a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.bigtable.cluster.node_count,Nodes,GAUGE,INT64,1,bigtable_cluster,"Number of nodes in a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.bigtable.cluster.storage_utilization,Storage utilization,GAUGE,DOUBLE,1,bigtable_cluster,"Storage used as a fraction of total storage capacity. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.bigtable.disk.bytes_used,Data stored,GAUGE,INT64,By,bigtable_cluster,"Amount of compressed data for tables stored in a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.bigtable.disk.per_node_storage_capacity,Storage capacity per node,GAUGE,INT64,By,bigtable_cluster,"Capacity of compressed data for tables that can be stored per node in the cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.bigtable.disk.storage_capacity,Storage capacity,GAUGE,INT64,By,bigtable_cluster,"Capacity of compressed data for tables that can be stored in a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.bigtable.replication.latency,Replication latencies,DELTA,DISTRIBUTION,ms,bigtable_table,"Distribution of replication request latencies for a table. Includes only requests that have been received by the destination cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.bigtable.replication.max_delay,Replication maximum delay,GAUGE,DOUBLE,s,bigtable_table,"Upper bound for replication delay between clusters of a table. Indicates the time frame during which latency information may not be accurate. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.bigtable.server.error_count,Error count,DELTA,INT64,1,bigtable_table,"Number of server requests for a table that failed with an error. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigtable.server.latencies,Server Latencies,DELTA,DISTRIBUTION,ms,bigtable_table,"Distribution of server request latencies for a table, measured when calls reach Cloud Bigtable. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigtable.server.modified_rows_count,Modified rows,DELTA,INT64,1,bigtable_table,"Number of rows modified by server requests for a table. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigtable.server.multi_cluster_failovers_count,Multi-cluster failovers,DELTA,INT64,1,bigtable_table,"Number of failovers during multi-cluster requests. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigtable.server.received_bytes_count,Received bytes,DELTA,INT64,By,bigtable_table,"Number of uncompressed bytes of request data received by servers for a table. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigtable.server.request_count,Request count,DELTA,INT64,1,bigtable_table,"Number of server requests for a table. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigtable.server.returned_rows_count,Returned rows,DELTA,INT64,1,bigtable_table,"Number of rows returned by server requests for a table. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigtable.server.sent_bytes_count,Sent bytes,DELTA,INT64,By,bigtable_table,"Number of uncompressed bytes of response data sent by servers for a table. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.bigtable.table.bytes_used,Data stored,GAUGE,INT64,By,bigtable_table,"Amount of compressed data stored in a table. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
