metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.cloudsql.database.auto_failover_request_count,Auto-failover Requests,DELTA,INT64,1,cloudsql_database,"Delta of number of instance auto-failover requests. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.cloudsql.database.available_for_failover,Available for failover,GAUGE,INT64,1,cloudsql_database,"This is > 0 if the failover operation is available on the instance. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.cloudsql.database.cpu.reserved_cores,CPU reserved cores,GAUGE,DOUBLE,1,cloudsql_database,"Number of cores reserved for the database. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.cloudsql.database.cpu.usage_time,CPU usage,DELTA,DOUBLE,s{CPU},cloudsql_database,"Cumulative CPU usage time in seconds. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.cloudsql.database.cpu.utilization,CPU utilization,GAUGE,DOUBLE,10^2.%,cloudsql_database,"Current CPU utilization represented as a percentage of the reserved CPU that is currently in use. Values are typically numbers between 0.0 and 1.0 (but might exceed 1.0). Charts display the values as a percentage between 0% and 100% (or more). Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.cloudsql.database.disk.bytes_used,Bytes used,GAUGE,INT64,By,cloudsql_database,"Data utilization in bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.cloudsql.database.disk.quota,Disk quota,GAUGE,INT64,By,cloudsql_database,"Maximum data disk size in bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.cloudsql.database.disk.read_ops_count,Disk read IO,DELTA,INT64,1,cloudsql_database,"Delta count of data disk read IO operations. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.cloudsql.database.disk.utilization,Disk utilization,GAUGE,DOUBLE,1,cloudsql_database,"The fraction of the disk quota that is currently in use. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.cloudsql.database.disk.write_ops_count,Disk write IO,DELTA,INT64,1,cloudsql_database,"Delta count of data disk write IO operations. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
