metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.compute.firewall.dropped_bytes_count,Dropped bytes,DELTA,INT64,By,gce_instance,"Count of incoming bytes dropped by the firewall. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.compute.firewall.dropped_packets_count,Dropped packets,DELTA,INT64,1,gce_instance,"Count of incoming packets dropped by the firewall. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.compute.guest.cpu.load_15m,CPU load average (15m),GAUGE,DOUBLE,1,gce_instance,CPU Load (15 minute intervals). Container-Optimized OS only.
gcp.compute.guest.cpu.load_1m,CPU load average (1m),GAUGE,DOUBLE,1,gce_instance,CPU Load (1 minute intervals). Container-Optimized OS only.
gcp.compute.guest.cpu.load_5m,CPU load average (5m),GAUGE,DOUBLE,1,gce_instance,CPU Load (5 minute intervals).  Container-Optimized OS only.
gcp.compute.guest.cpu.runnable_task_count,Runnable task count.,GAUGE,DOUBLE,1,gce_instance,The average number of runnable tasks in the run-queue. Container-Optimized OS only.
gcp.compute.guest.cpu.usage_time,CPU usage,CUMULATIVE,DOUBLE,s{CPU},gce_instance,"CPU usage, in seconds. Container-Optimized OS only."
gcp.compute.guest.disk.bytes_used,Disk usage,GAUGE,INT64,By,gce_instance,Number of bytes used on disk for file systems. Container-Optimized OS only.
gcp.compute.guest.disk.io_time,IO Time,CUMULATIVE,INT64,ms,gce_instance,"The cumulative time spent on the I/O operations that are in progress; that is, the actual time in queue and when disks were busy. Requests issued in parallel are counted as a single one. Container-Optimized OS only. Sampled every 60 seconds."
gcp.compute.guest.disk.merged_operation_count,Merged disk operations,CUMULATIVE,INT64,1,gce_instance,Merged disk operations count. Disk operations which are adjacent to each other may be merged by the kernel for efficiency. Container-Optimized OS only.
gcp.compute.guest.disk.operation_bytes_count,Disk bytes transferred,CUMULATIVE,INT64,By,gce_instance,Bytes transferred in disk operations. Container-Optimized OS only.
gcp.compute.guest.disk.operation_count,Disk operations,CUMULATIVE,INT64,1,gce_instance,Disk operations count. Container-Optimized OS only.
gcp.compute.guest.disk.operation_time,Disk operation time,CUMULATIVE,INT64,ms,gce_instance,"Amount of time spent on the disk operations, by direction. This metric only includes time spent on completed operations. Container-Optimized OS only."
gcp.compute.guest.disk.queue_length,Queue Length,GAUGE,DOUBLE,1,gce_instance,The queue length on the disk averaged over the last 60 seconds. Container-Optimized OS only. Sampled every 60 seconds.
gcp.compute.guest.disk.weighted_io_time,IO Time,CUMULATIVE,INT64,ms,gce_instance,The cumulative weighted IO time spent on the disk. Container-Optimized OS only. Sampled every 60 seconds.
gcp.compute.guest.memory.anonymous_used,Anonymous memory usage in Bytes,GAUGE,INT64,By,gce_instance,"Anonymous memory usage, in Bytes. Summing values of all states yields the total anonymous memory used. Container-Optimized OS only."
gcp.compute.guest.memory.bytes_used,Memory usage in Bytes,GAUGE,INT64,By,gce_instance,"Memory usage by each memory state, in Bytes. Summing values of all states yields the total memory on the machine. Container-Optimized OS only."
gcp.compute.guest.memory.dirty_used,Dirty pages usage in Bytes.,GAUGE,INT64,By,gce_instance,"Dirty pages usage, in Bytes. Container-Optimized OS only."
gcp.compute.guest.memory.page_cache_used,Page cache memory usage in Bytes,GAUGE,INT64,By,gce_instance,"Page cache memory usage, in Bytes. Summing values of all states yields the total anonymous memory used. Container-Optimized OS only."
gcp.compute.guest.memory.unevictable_used,Unevictable memory usage in Bytes,GAUGE,INT64,By,gce_instance,"Unevictable memory usage, in Bytes. Container-Optimized OS only."
gcp.compute.guest.system.os_feature_enabled,OS Feature,GAUGE,INT64,1,gce_instance,"OS Features like GPU support, KTD kernel, third party modules as unknown modules. 1 if the feature is enabled and 0, if disabled. Sampled every 60 seconds."
gcp.compute.guest.system.problem_count,Problem Count,CUMULATIVE,INT64,1,gce_instance,Number of times a machine problem has happened. Container-Optimized OS only. Sampled every 60 seconds.
gcp.compute.guest.system.problem_state,Problem State,GAUGE,INT64,1,gce_instance,Whether a problem is affecting the system or not. The problem is affecting the system when set to 1 and is not affecting the system when set to 0. Container-Optimized OS only. Sampled every 60 seconds.
gcp.compute.guest.system.uptime,Uptime,GAUGE,INT64,s,gce_instance,Number of seconds that the operating system has been running for. Container-Optimized OS only. Sampled every 60 seconds.
