metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.dataproc.cluster.hdfs.datanodes,HDFS DataNodes,GAUGE,INT64,1,cloud_dataproc_cluster,"Indicates the number of HDFS DataNodes that are running inside a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.hdfs.storage_capacity,HDFS capacity,GAUGE,DOUBLE,GiBy,cloud_dataproc_cluster,"Indicates capacity of HDFS system running on cluster in GB. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.hdfs.storage_utilization,HDFS storage utilization,GAUGE,DOUBLE,1,cloud_dataproc_cluster,"The percentage of HDFS storage currently used. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.hdfs.unhealthy_blocks,Unhealthy HDFS blocks by status,GAUGE,INT64,1,cloud_dataproc_cluster,"Indicates the number of unhealthy blocks inside the cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.job.completion_time,Job duration,DELTA,DISTRIBUTION,s,cloud_dataproc_cluster,"The time jobs took to complete from the time the user submits a job to the time Dataproc reports it is completed. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.job.duration,Job state duration,DELTA,DISTRIBUTION,s,cloud_dataproc_cluster,"The time jobs have spent in a given state. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.job.failed_count,Failed jobs,DELTA,INT64,1,cloud_dataproc_cluster,"Indicates the number of jobs that have failed on a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.job.running_count,Running jobs,GAUGE,INT64,1,cloud_dataproc_cluster,"Indicates the number of jobs that are running on a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.job.submitted_count,Submitted jobs,DELTA,INT64,1,cloud_dataproc_cluster,"Indicates the number of jobs that have been submitted to a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.operation.completion_time,Operation duration,DELTA,DISTRIBUTION,s,cloud_dataproc_cluster,"The time operations took to complete from the time the user submits a operation to the time Dataproc reports it is completed. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.operation.duration,Operation state duration,DELTA,DISTRIBUTION,s,cloud_dataproc_cluster,"The time operations have spent in a given state. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.operation.failed_count,Failed operations,DELTA,INT64,1,cloud_dataproc_cluster,"Indicates the number of operations that have failed on a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.operation.running_count,Running operations,GAUGE,INT64,1,cloud_dataproc_cluster,"Indicates the number of operations that are running on a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.operation.submitted_count,Submitted operations,DELTA,INT64,1,cloud_dataproc_cluster,"Indicates the number of operations that have been submitted to a cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.yarn.allocated_memory_percentage,YARN allocated memory percentage,GAUGE,DOUBLE,1,cloud_dataproc_cluster,"The percentage of YARN memory is allocated. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.yarn.apps,YARN active applications,GAUGE,INT64,1,cloud_dataproc_cluster,"Indicates the number of active YARN applications. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.yarn.containers,YARN containers,GAUGE,INT64,1,cloud_dataproc_cluster,"Indicates the number of YARN containers. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.yarn.memory_size,YARN memory size,GAUGE,DOUBLE,GiBy,cloud_dataproc_cluster,"Indicates the YARN memory size in GB. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.yarn.nodemanagers,YARN NodeManagers,GAUGE,INT64,1,cloud_dataproc_cluster,"Indicates the number of YARN NodeManagers running inside cluster. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.yarn.pending_memory_size,YARN pending memory size,GAUGE,DOUBLE,GiBy,cloud_dataproc_cluster,"The current memory request, in GB, that is pending to be fulfilled by the scheduler. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.dataproc.cluster.yarn.virtual_cores,YARN virtual cores,GAUGE,INT64,1,cloud_dataproc_cluster,"Indicates the number of virtual cores in YARN. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
