metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.datastream.stream.bytes_count,Stream bytes count,DELTA,INT64,By,datastream.googleapis.com/DatastreamStream,The stream bytes count.
gcp.datastream.stream.event_count,Stream event count,DELTA,INT64,1,datastream.googleapis.com/DatastreamStream,The stream event count.
gcp.datastream.stream.freshness,Stream freshness,GAUGE,INT64,s,datastream.googleapis.com/DatastreamStream,The stream freshness.
gcp.datastream.stream.latencies,Stream latencies,DELTA,DISTRIBUTION,s,datastream.googleapis.com/DatastreamStream,"The stream latencies. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.datastream.stream.system_latencies,Stream system latencies,DELTA,DISTRIBUTION,s,datastream.googleapis.com/DatastreamStream,"A distribution of the latency calculated from when the event was read from the source until it was written to the destination. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.datastream.stream.total_latencies,Stream total latencies,DELTA,DISTRIBUTION,s,datastream.googleapis.com/DatastreamStream,"A distribution of the latency calculated from when the event was created at the source until it was written to the destination. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.datastream.stream.unsupported_event_count,Stream unsupported event count,DELTA,INT64,1,datastream.googleapis.com/DatastreamStream,The stream unsupported event count.
gcp.datastream.streamobject.bytes_count,bytes count per stream object,DELTA,INT64,By,datastream.googleapis.com/StreamObject,The bytes count per stream object.
gcp.datastream.streamobject.event_count,event count per stream object,DELTA,INT64,1,datastream.googleapis.com/StreamObject,The event count per stream object.
gcp.datastream.streamobject.unsupported_event_count,unsupported event count per stream object,DELTA,INT64,1,datastream.googleapis.com/StreamObject,The unsupported event count per stream object.
