metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.file.nfs.server.average_read_latency,Average read latency,GAUGE,DOUBLE,ms,filestore_instance,"Average latency for all disk read operations (NOTE: this metric will only be populated for High Scale instances). Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.average_write_latency,Average write latency,GAUGE,DOUBLE,ms,filestore_instance,"Average latency for all disk write operations (NOTE: this metric will only be populated for High Scale instances). Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.free_bytes,Free disk bytes,GAUGE,INT64,By,filestore_instance,"Total free disk bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.free_bytes_percent,Free disk space percent,GAUGE,DOUBLE,%,filestore_instance,"Free disk space as a percentage of the total space. Values are numbers between 0.0 and 100.0. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.metadata_ops_count,Metadata operation count,DELTA,INT64,1,filestore_instance,"Count of disk metadata operations (NOTE: this metric will only be populated for High Scale instances). Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.procedure_call_count,Procedure call count,DELTA,INT64,1,filestore_instance,"NFS server procedure call count. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.read_bytes_count,Bytes read,DELTA,INT64,By,filestore_instance,"Bytes read from disk. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.read_milliseconds_count,Time (in milliseconds) spent on read operations,DELTA,INT64,ms,filestore_instance,"Count of milliseconds spent on disk read operations. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.read_ops_count,Disk read operation count,DELTA,INT64,1,filestore_instance,"Count of disk read operations. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.used_bytes,Used disk bytes,GAUGE,INT64,By,filestore_instance,"Total used disk bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.used_bytes_percent,Used disk space percent,GAUGE,DOUBLE,%,filestore_instance,"Used disk space as a percentage of the total space. Values are numbers between 0.0 and 100.0. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.write_bytes_count,Bytes written,DELTA,INT64,By,filestore_instance,"Bytes written to disk. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.write_milliseconds_count,Time (in milliseconds) spent on write operations,DELTA,INT64,ms,filestore_instance,"Count of milliseconds spent on disk write operations. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.file.nfs.server.write_ops_count,Disk write operation count,DELTA,INT64,1,filestore_instance,"Count of disk write operations. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
