metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.ml.prediction.error_count,Error count,DELTA,INT64,1,cloudml_model_version,"Cumulative count of prediction errors. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.ml.prediction.latencies,Latency,DELTA,DISTRIBUTION,us,cloudml_model_version,"Latency of a certain type. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.ml.prediction.online.accelerator.duty_cycle,Accelerator duty cycle,GAUGE,DOUBLE,10^2.%,cloudml_model_version,"Average fraction of time over the past sample period during which the accelerator(s) were actively processing. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.prediction.online.accelerator.memory.bytes_used,Accelerator memory usage,GAUGE,INT64,By,cloudml_model_version,"Amount of accelerator memory allocated by the model replica. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.prediction.online.cpu.utilization,CPU usage,GAUGE,DOUBLE,10^2.%,cloudml_model_version,"Fraction of CPU allocated by the model replica and currently in use. May exceed 100% if the machine type has multiple CPUs. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.prediction.online.memory.bytes_used,Memory usage,GAUGE,INT64,By,cloudml_model_version,"Amount of memory allocated by the model replica and currently in use. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.prediction.online.network.bytes_received,Network bytes received,DELTA,INT64,By,cloudml_model_version,"Number of bytes received over the network by the model replica. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.prediction.online.network.bytes_sent,Network bytes sent,DELTA,INT64,By,cloudml_model_version,"Number of bytes sent over the network by the model replica. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.prediction.online.replicas,Replica count,GAUGE,INT64,1,cloudml_model_version,"Number of active model replicas. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.ml.prediction.online.target_replicas,Replica target,GAUGE,INT64,1,cloudml_model_version,"Aspired number of active model replicas. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.ml.prediction.prediction_count,Prediction count,DELTA,INT64,1,cloudml_model_version,"Cumulative count of predictions. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.ml.prediction.response_count,Response count,DELTA,INT64,1,cloudml_model_version,"Cumulative count of different response codes. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.ml.training.accelerator.memory.utilization,Accelerator memory utilization,GAUGE,DOUBLE,10^2.%,cloudml_job,"Fraction of allocated accelerator memory that is currently in use. Values are numbers between 0.0 and 1.0, charts display the values as a percentage between 0% and 100%. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.training.accelerator.utilization,Accelerator utilization,GAUGE,DOUBLE,10^2.%,cloudml_job,"Fraction of allocated accelerator that is currently in use. Values are numbers between 0.0 and 1.0, charts display the values as a percentage between 0% and 100%. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.training.cpu.utilization,CPU utilization,GAUGE,DOUBLE,10^2.%,cloudml_job,"Fraction of allocated CPU that is currently in use. Values are numbers between 0.0 and 1.0, charts display the values as a percentage between 0% and 100%. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.training.memory.utilization,Memory utilization,GAUGE,DOUBLE,10^2.%,cloudml_job,"Fraction of allocated memory that is currently in use. Values are numbers between 0.0 and 1.0, charts display the values as a percentage between 0% and 100%. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.training.network.received_bytes_count,Network bytes received,DELTA,INT64,By,cloudml_job,"Number of bytes received by the training job over the network. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
gcp.ml.training.network.sent_bytes_count,Network bytes sent,DELTA,INT64,By,cloudml_job,"Number of bytes sent by the training job over the network. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
