metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.networking.cloud_netslo.active_probing.probe_count,Number of probes,DELTA,INT64,1,gce_zone_network_health,"Number of probing probes. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.networking.google_service.request_bytes_count,Request bytes count,DELTA,INT64,By,,"The number of bytes sent in requests from the clients to the Google Service. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.google_service.response_bytes_count,Response bytes count,DELTA,INT64,By,,"The number of bytes sent in responses to the clients from the Google Service. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.interconnect_attachment.egress_bytes_count,Egress bytes from Interconnect Attachment,DELTA,INT64,By,interconnect_attachment,"The number of bytes sent from GCP via the Attachment to on-premises hosts. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.interconnect_attachment.ingress_bytes_count,Ingress bytes to Interconnect Attachment,DELTA,INT64,By,interconnect_attachment,"The number of bytes sent to GCP via the Attachment from on-premises hosts. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.interconnect_attachment.vm.egress_bytes_count,Egress bytes per VM to Interconnect Attachment,DELTA,INT64,By,gce_instance,"Number of bytes sent from the local VM to its remote peers via the tunnel. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.interconnect_attachment.vm.ingress_bytes_count,Ingress bytes per VM from Interconnect Attachment,DELTA,INT64,By,gce_instance,"Number of bytes sent to the local VM from its remote peers via the Interconnect Attachment. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.router_appliance.gateway.egress_bytes_count,Egress bytes from Router appliance,DELTA,INT64,By,gce_instance,"The number of bytes sent to GCP via the Router appliance from on-premises hosts. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.router_appliance.gateway.ingress_bytes_count,Ingress bytes to Router appliance,DELTA,INT64,By,gce_instance,"The number of bytes sent from GCP via the Router appliance to on-premises hosts. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.router_appliance.vm.egress_bytes_count,Egress bytes per VM to Router Appliance,DELTA,INT64,By,gce_instance,"Number of bytes sent from the local VM to its remote peers via the Router appliance. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.router_appliance.vm.ingress_bytes_count,Ingress bytes per VM from Router Appliance,DELTA,INT64,By,gce_instance,"Number of bytes sent to the local VM from its remote peers via the Router appliance. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vm_flow.connection_count,Connection Count,DELTA,INT64,1,gce_instance,"Number of connections measured between the local VM and its remote peers. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vm_flow.egress_bytes_count,Egress bytes,DELTA,INT64,By,gce_instance,"Number of bytes sent from the local VM to its remote peers. This metric does not include the header size. So this value is lower than the compute.googleapis.com/instance/network/sent_bytes_count value. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vm_flow.egress_packets_count,Egress Packets Per VM,DELTA,INT64,1,gce_instance,"Number of packets sent from the local VM to its remote peers. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vm_flow.ingress_bytes_count,Ingress bytes,DELTA,INT64,By,gce_instance,"Number of bytes sent to the local VM from its remote peers. This metric does not include the header size. So this value is lower than the compute.googleapis.com/instance/network/received_bytes_count value. . Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vm_flow.ingress_packets_count,Ingress Packets Per VM,DELTA,INT64,1,gce_instance,"Number of packets sent to the local VM from its remote peers. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vm_flow.rtt,RTT latencies,DELTA,DISTRIBUTION,ms,gce_instance,"A distribution of RTT measured over TCP connections from the local VM. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vpc_flow.predicted_max_vpc_flow_logs_count,Predicted Max VPC Flow Logs Count,DELTA,INT64,1,gce_subnetwork,"A predicted upper bound for the amount of VPC Flow Logs that would be exported for a specific subnet. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vpn_tunnel.egress_bytes_count,Egress bytes from VPN Tunnel,DELTA,INT64,By,vpn_tunnel,"The number of bytes sent from GCP via the VPN Tunnel to the other side of the VPN Tunnel. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vpn_tunnel.ingress_bytes_count,Ingress bytes to VPN Tunnel,DELTA,INT64,By,vpn_tunnel,"The number of bytes sent to GCP via the VPN Tunnel from the other side of the VPN Tunnel. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vpn_tunnel.vm.egress_bytes_count,Egress bytes per VM to VPN tunnel,DELTA,INT64,By,gce_instance,"Number of bytes sent from the local VM to its remote peers via the VPN tunnel. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.networking.vpn_tunnel.vm.ingress_bytes_count,Ingress bytes per VM from VPN tunnel,DELTA,INT64,By,gce_instance,"Number of bytes sent to the local VM from its remote peers via the VPN tunnel. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
