metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.pubsub.snapshot.backlog_bytes,Snapshot backlog bytes,GAUGE,INT64,By,pubsub_snapshot,"Total byte size of the messages retained in a snapshot. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.snapshot.backlog_bytes_by_region,Snapshot backlog bytes by region,GAUGE,INT64,By,pubsub_snapshot,"Total byte size of the messages retained in a snapshot, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.snapshot.config_updates_count,Snapshot updates,DELTA,INT64,1,pubsub_snapshot,"Cumulative count of configuration changes, grouped by operation type and result. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.snapshot.num_messages,Snapshot messages,GAUGE,INT64,1,pubsub_snapshot,"Number of messages retained in a snapshot. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.snapshot.num_messages_by_region,Snapshot messages by region,GAUGE,INT64,1,pubsub_snapshot,"Number of messages retained in a snapshot, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.snapshot.oldest_message_age,Oldest snapshot message age,GAUGE,INT64,s,pubsub_snapshot,"Age (in seconds) of the oldest message retained in a snapshot. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.snapshot.oldest_message_age_by_region,Oldest snapshot message age by region,GAUGE,INT64,s,pubsub_snapshot,"Age (in seconds) of the oldest message retained in a snapshot, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.ack_latencies,Ack latency,DELTA,DISTRIBUTION,ms,pubsub_subscription,"Distribution of ack latencies in milliseconds. The ack latency is the time between when Cloud Pub/Sub sends a message to a subscriber client and when Cloud Pub/Sub receives an Acknowledge request for that message. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.subscription.ack_message_count,Ack message count,DELTA,INT64,1,pubsub_subscription,"Cumulative count of messages acknowledged by Acknowledge requests, grouped by delivery type. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.subscription.backlog_bytes,Backlog size,GAUGE,INT64,By,pubsub_subscription,"Total byte size of the unacknowledged messages (a.k.a. backlog messages) in a subscription. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.byte_cost,Subscription byte cost,DELTA,INT64,By,pubsub_subscription,"Cumulative cost of operations, measured in bytes. This is used to measure quota utilization. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.subscription.config_updates_count,Subscription updates,DELTA,INT64,1,pubsub_subscription,"Cumulative count of configuration changes for each subscription, grouped by operation type and result. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.subscription.dead_letter_message_count,Dead letter message count,DELTA,INT64,1,pubsub_subscription,"Cumulative count of messages published to dead letter topic, grouped by result. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.subscription.delivery_latency_health_score,Delivery latency health score,GAUGE,BOOL,1,pubsub_subscription,"A score that measures the health of a subscription over a 10 minute rolling window. Sampled every 60 seconds. After sampling, data is not visible for up to 360 seconds."
