metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.pubsublite.subscription.backlog_message_count,Backlog message count,GAUGE,INT64,1,pubsublite_subscription_partition,"Total number of the unacknowledged messages (a.k.a. backlog messages) for a subscription in a given topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsublite.subscription.backlog_quota_bytes,Backlog quota bytes,GAUGE,INT64,By,pubsublite_subscription_partition,"Total quota byte size of the unacknowledged messages (a.k.a. backlog messages) for a subscription in a given topic partition.. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsublite.subscription.oldest_unacked_message_age,Oldest unacked message age,GAUGE,INT64,s,pubsublite_subscription_partition,"Age (in seconds) of the oldest unacknowledged message retained for a subscription in a given topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsublite.subscription.sent_message_count,Subscription sent message count,DELTA,INT64,1,pubsublite_subscription_partition,"Cumulative count of messages sent to subscribers for a subscription in a given topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.pubsublite.subscription.sent_quota_bytes,Subscription sent quota bytes,DELTA,INT64,By,pubsublite_subscription_partition,"Cumulative quota byte size of messages sent to subscribers for a subscription in a given topic partition. See https://cloud.google.com/pubsub/lite/quotas#resource_quotas for quota byte calculation. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.pubsublite.subscription.sent_raw_bytes,Subscription sent raw bytes,DELTA,INT64,By,pubsublite_subscription_partition,"Cumulative byte size of messages sent to subscribers for a subscription in a given topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.pubsublite.topic.oldest_retained_message_age,Oldest retained message age,GAUGE,INT64,s,pubsublite_topic_partition,"Age (in seconds) of the oldest message retained in a topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsublite.topic.publish_message_count,Publish message count,DELTA,INT64,1,pubsublite_topic_partition,"Cumulative count of published messages in a topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.pubsublite.topic.publish_quota_byte_limit,Publish quota byte limit,GAUGE,INT64,By,pubsublite_topic_partition,"The maximum number of message bytes that can be published per second per topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsublite.topic.publish_quota_bytes,Publish quota bytes,DELTA,INT64,By,pubsublite_topic_partition,"Cumulative quota byte size of published messages in a topic partition. See https://cloud.google.com/pubsub/lite/quotas#resource_quotas for quota byte calculation. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.pubsublite.topic.publish_quota_utilization,Publish quota utilization ratio,GAUGE,DOUBLE,10^2.%,pubsublite_topic_partition,"The ratio of the rate of message quota bytes that are being published to a partition to the rate that can be published per topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.pubsublite.topic.publish_raw_bytes,Publish raw bytes,DELTA,INT64,By,pubsublite_topic_partition,"Cumulative byte size of published messages in a topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.pubsublite.topic.publish_request_count,Publish request count,DELTA,INT64,1,pubsublite_topic_partition,"Cumulative count of publish requests in a topic partition, broken down by response code. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.pubsublite.topic.sent_quota_bytes,Topic sent quota bytes,DELTA,INT64,By,pubsublite_topic_partition,"Cumulative quota byte size of messages sent to subscribers for a topic partition. See https://cloud.google.com/pubsub/lite/quotas#resource_quotas for quota byte calculation. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.pubsublite.topic.storage_quota_byte_limit,Storage quota byte limit,GAUGE,INT64,By,pubsublite_topic_partition,"The quota byte limit for message storage in a topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsublite.topic.subscribe_quota_byte_limit,Subscribe quota byte limit,GAUGE,INT64,By,pubsublite_topic_partition,"The maximum number of message bytes that can be received by subscribers per second per topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsublite.topic.subscribe_quota_utilization,Subscribe quota utilization ratio,GAUGE,DOUBLE,10^2.%,pubsublite_topic_partition,"The ratio of the rate of message quota bytes that are sent to subscribers for a partition to the rate that can be received per topic partition. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
