metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.redis.clients.blocked,Blocked Clients,GAUGE,INT64,1,redis_instance,"Number of blocked clients. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.clients.connected,Connected Clients,GAUGE,INT64,1,redis_instance,"Number of client connections. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.commands.calls,Calls,DELTA,INT64,1,redis_instance,"Total number of calls for this command in one minute. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.commands.total_time,Total Time of Calls,DELTA,INT64,us,redis_instance,"The amount of time in microseconds that this command took in the last second. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.commands.usec_per_call,Time per Call,GAUGE,DOUBLE,1,redis_instance,"Average time per call over 1 minute by command. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.keyspace.avg_ttl,Average TTL,GAUGE,DOUBLE,ms,redis_instance,"Average TTL for keys in this database. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.keyspace.keys,Keys,GAUGE,INT64,1,redis_instance,"Number of keys stored in this database. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.keyspace.keys_with_expiration,Expirable Keys,GAUGE,INT64,1,redis_instance,"Number of keys with an expiration in this database. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.persistence.rdb.bgsave_in_progress,Persisting RDB,GAUGE,BOOL,1,redis_instance,"Flag indicating a RDB save is on-going. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.replication.master.slaves.lag,Bytes lagging,GAUGE,INT64,By,redis_instance,"The number of bytes that replica is behind. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.replication.master.slaves.offset,Replication byte offset (Replica),GAUGE,INT64,By,redis_instance,"The number of bytes that have been acknowledged by replicas. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.replication.master_repl_offset,Replication byte offset (Master),GAUGE,INT64,By,redis_instance,"The number of bytes that master has produced and sent to replicas. To be compared with replication byte offset of replica. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.replication.offset_diff,Bytes pending replication,GAUGE,INT64,By,redis_instance,"The number of bytes that have not been replicated to the replica. This is the difference between replication byte offset (master) and replication byte offset (replica). Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.replication.role,Node Role,GAUGE,INT64,1,redis_instance,"Returns a value indicating the node role. 1 indicates master and 0 indicates replica. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.server.uptime,Uptime,GAUGE,INT64,s,redis_instance,"Uptime in seconds. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.cache_hit_ratio,Cache Hit ratio,GAUGE,DOUBLE,1,redis_instance,"Cache Hit ratio as a fraction. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.connections.total,Total Connections Received,DELTA,INT64,1,redis_instance,"Total number of connections accepted by the server. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.cpu_utilization,CPU seconds,DELTA,DOUBLE,s{CPU},redis_instance,"CPU-seconds consumed by the Redis server, broken down by system/user space and parent/child relationship. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.evicted_keys,Evicted Keys,DELTA,INT64,1,redis_instance,"Number of evicted keys due to maxmemory limit. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.expired_keys,Expired Keys,DELTA,INT64,1,redis_instance,"Total number of key expiration events. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.keyspace_hits,Hits,DELTA,INT64,1,redis_instance,"Number of successful lookup of keys in the main dictionary. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.keyspace_misses,Misses,DELTA,INT64,1,redis_instance,"Number of failed lookup of keys in the main dictionary. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.memory.maxmemory,Maximum Memory,GAUGE,INT64,By,redis_instance,"Maximum amount of memory Redis can consume. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.memory.system_memory_overload_duration,Time in system memory overload,DELTA,INT64,us,redis_instance,"The amount of time in microseconds the instance is in system memory overload mode. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.memory.system_memory_usage_ratio,System Memory Usage Ratio,GAUGE,DOUBLE,1,redis_instance,"Memory usage as a ratio of maximum system memory. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.memory.usage,Used Memory,GAUGE,INT64,By,redis_instance,"Total number of bytes allocated by Redis. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.memory.usage_ratio,Memory Usage Ratio,GAUGE,DOUBLE,1,redis_instance,"Memory usage as a ratio of maximum memory. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.network_traffic,Total traffic to Redis,DELTA,INT64,By,redis_instance,"Total number of bytes sent to/from redis (includes bytes from commands themselves, payload data, and delimiters). Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.pubsub.channels,Pubsub Channels,GAUGE,INT64,1,redis_instance,"Global number of pub/sub channels with client subscriptions. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.pubsub.patterns,Pubsub Patterns,GAUGE,INT64,1,redis_instance,"Global number of pub/sub pattern with client subscriptions. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.redis.stats.reject_connections_count,Rejected Connections,DELTA,INT64,1,redis_instance,"Number of connections rejected because of maxclients limit. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
