metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.serviceruntime.api.request_count,Request count,DELTA,INT64,1,"api, consumed_api, produced_api","The count of completed requests. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.serviceruntime.api.request_latencies,Request latencies,DELTA,DISTRIBUTION,s,"api, consumed_api, produced_api","Distribution of latencies in seconds for non-streaming requests. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.serviceruntime.api.request_latencies_backend,Request backend latencies,DELTA,DISTRIBUTION,s,"api, produced_api","Distribution of backend latencies in seconds for non-streaming requests. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.serviceruntime.api.request_latencies_overhead,Request overhead latencies,DELTA,DISTRIBUTION,s,"api, produced_api","Distribution of request latencies in seconds for non-streaming requests excluding the backend. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.serviceruntime.api.request_sizes,Request sizes,DELTA,DISTRIBUTION,By,"api, consumed_api, produced_api","Distribution of request sizes in bytes recorded at request completion. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.serviceruntime.api.response_sizes,Response sizes,DELTA,DISTRIBUTION,By,"api, consumed_api, produced_api","Distribution of response sizes in bytes recorded at request completion. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.serviceruntime.quota.allocation.usage,Allocation quota usage,GAUGE,INT64,1,"consumer_quota, producer_quota","The total consumed allocation quota. Limited to 1/min granularity. Values reported more frequently are dropped. If no changes are received, the last value is repeated at least every 28 hours. Sampled every 60 seconds."
gcp.serviceruntime.quota.exceeded,Quota exceeded error,GAUGE,BOOL,1,consumer_quota,The error happened when the quota limit was exceeded. Sampled every 60 seconds.
gcp.serviceruntime.quota.limit,Quota limit,GAUGE,INT64,1,"consumer_quota, producer_quota",The limit for the quota. Sampled every 86400 seconds.
gcp.serviceruntime.quota.rate.net_usage,Rate quota usage,DELTA,INT64,1,"consumer_quota, producer_quota","The total consumed rate quota. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.serviceruntime.reserved.metric1,Deprecated,DELTA,INT64,1,deprecated_resource,"Deprecated. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
